state,densityMi,pop2022,pop2023,JobGrowthTotalJobsFeb2023,JobGrowthYoYNetGrowthIn1000s,JobGrowthYoYNetGrowthPerc
Alabama,100.6762,5074296,5098746,2139400,41.5,2
Alaska,1.28449,733583,732984,326500,9.7,3.1
Arizona,65.61541,7359197,7453517,3147800,78.8,2.6
Arkansas,58.86715,3045637,3063152,1354600,32.5,2.5
California,249.81347,39029342,38915693,17969600,486.5,2.8
Colorado,56.62333,5839926,5868555,2887700,46.7,1.6
Connecticut,749.49504,3626205,3629055,1687500,28.7,1.7
Delaware,529.49461,1018396,1031985,479900,10.8,2.3
District of Columbia,11062.54098,671803,674815,743900,13,1.7
Florida,422.59351,22244823,22661577,9681900,427.4,4.6
Georgia,191.91701,10912876,11037723,4875800,135.1,2.8
Hawaii,223.14152,1440196,1433238,633200,24.4,4
Idaho,23.88287,1939033,1973752,845100,24.9,3
Illinois,224.74459,12582032,12477595,6114600,144.9,2.4
Indiana,191.27287,6833037,6852542,3236900,73.6,2.3
Iowa,57.34903,3200517,3203345,1590300,22.8,1.5
Kansas,35.91504,2937150,2936378,1448000,41.3,2.9
Kentucky,114.42109,4512310,4518031,1991900,43,2.2
Louisiana,105.39265,4590241,4553384,1946000,35.5,1.9
Maine,45.17855,1385340,1393442,646800,12.5,2
Maryland,634.04862,6164660,6154710,2725300,18.2,0.7
Massachusetts,894.13564,6981974,6974258,3735800,91.7,2.5
Michigan,177.41244,10034113,10030722,4416400,91.7,2.1
Minnesota,71.87131,5717184,5722897,2983000,73.6,2.5
Mississippi,62.45398,2940057,2930528,1179700,17.6,1.5
Missouri,89.98998,6177957,6186091,2962000,58,2
Montana,7.82919,1122867,1139507,518100,12.6,2.5
Nebraska,25.67286,1967923,1972292,1043300,21.7,2.1
Nevada,29.23222,3177772,3209142,1537700,74.7,5.1
New Hampshire,156.70245,1395231,1402957,699500,18.4,2.7
New Jersey,1258.5582,9261699,9255437,4321400,105.4,2.5
New Mexico,17.39527,2113344,2110011,862800,22.1,2.6
New York,413.71663,19677151,19496810,9682000,269.4,2.9
North Carolina,222.7994,10698973,10832061,4884600,144.1,3
North Dakota,11.31271,779261,780588,434400,10.5,2.5
Ohio,287.50579,11756058,11747774,5575500,77.8,1.4
Oklahoma,59.01851,4019800,4048375,1728200,45.4,2.7
Oregon,44.00522,4240137,4223973,1989600,58.8,3
Pennsylvania,289.02749,12972008,12931957,6094400,164.8,2.8
Rhode Island,1054.62573,1093734,1090483,501000,9.4,1.9
South Carolina,178.70337,5282634,5372002,2278100,53.9,2.4
South Dakota,12.1814,909824,923484,459900,10.5,2.3
Tennessee,173.0163,7051339,7134327,3310500,103.3,3.2
Texas,116.75553,30029572,30500280,13831900,611.4,4.6
Utah,41.6513,3380800,3422487,1712000,52.6,3.2
Vermont,70.2133,647064,647156,307500,6.5,2.2
Virginia,220.55895,8683619,8709873,4131200,96.1,2.4
Washington,117.83476,7785786,7830827,3613500,122.5,3.5
West Virginia,73.41651,1775156,1764786,699500,2.5,0.4
Wisconsin,109.03241,5892539,5904977,2997400,50.3,1.7
Wyoming,6.00743,581381,583279,288700,6,2.1